C,t[mu],Q[mAh],Cathode
0.1,305,229.425,NMC
0.2,305,209.245,NMC
0.333,305,154.053,NMC
0.5,305,74.564,NMC
0.2,305,193.896,NMC
0.1,255,190.937,NMC
0.2,255,180.089,NMC
0.333,255,170.424,NMC
0.5,255,117.76,NMC
0.2,255,173.185,NMC
0.1,205,152.278,NMC
0.2,205,147.149,NMC
0.333,205,143.994,NMC
0.5,205,137.485,NMC
0.2,205,142.218,NMC
0.1,155,112.829,NMC
0.2,155,109.871,NMC
0.333,155,107.898,NMC
0.5,155,106.518,NMC
0.2,155,106.715,NMC
0.1,105,78.312,NMC
0.2,105,76.734,NMC
0.333,105,75.945,NMC
0.5,105,74.564,NMC
0.2,105,74.564,NMC
0.1,70,49.318,NMC
0.2,70,47.345,NMC
0.333,70,46.162,NMC
0.5,70,44.781,NMC
0.2,70,45.964,NMC
